Header_line;24
location;Drammen - Norway
year_of_construction;1986
floor_area;3327
number_of_users;49
number_of_units;5
building_category;Nsh
energy_label;C
notes;Renovated/expanded in 2009
central_heating_system;0
dhw_heat_source;HWH
sh_heat_source;EH
ventilation_heat_source;EHB
ventilation_types;DCV
night_setback;1
lighting_control;0
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6410

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import;Electricity use;Heat use
;C;W/m2;m/s;deg;Wh;Wh;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported ;Electricity for DHW production and heat tracing;Domestic Hot Water
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp;ElDHW;HtDHW
2018-01-09T21:00:00+0100;-9.79;0.0;3.01;308.26;149000.0;;
2018-01-09T22:00:00+0100;-10.05;0.0;3.43;309.08;87000.0;;
2018-01-09T23:00:00+0100;-10.39;0.0;3.13;318.47;87000.0;;
2018-01-10T00:00:00+0100;-10.53;0.0;3.02;322.72;83000.0;;
2018-01-10T01:00:00+0100;-10.06;0.0;2.69;335.34;79000.0;;
2018-01-10T02:00:00+0100;-10.38;0.0;2.73;342.67;74000.0;;
2018-01-10T03:00:00+0100;-10.35;0.0;2.93;345.1;77000.0;;
2018-01-10T04:00:00+0100;-10.19;0.0;3.39;349.78;77000.0;;
2018-01-10T05:00:00+0100;-10.16;0.0;3.57;344.13;137000.0;;
2018-01-10T06:00:00+0100;-10.84;0.0;3.2;345.55;126000.0;;
2018-01-10T07:00:00+0100;-10.18;-0.0;3.47;342.15;181000.0;;
2018-01-10T08:00:00+0100;-10.49;0.0;3.38;340.48;201000.0;;
2018-01-10T09:00:00+0100;-10.07;4.61;3.55;345.68;207000.0;;
2018-01-10T10:00:00+0100;-9.85;21.96;3.34;345.31;204000.0;;
2018-01-10T11:00:00+0100;-9.01;20.37;2.93;347.26;211000.0;;
2018-01-10T12:00:00+0100;-7.6;34.01;2.76;352.35;198000.0;;
2018-01-10T13:00:00+0100;-6.61;22.76;2.84;354.24;184000.0;;
