Header_line;17
location;Oslo Norway
year_of_construction;2009
floor_area;15127
number_of_users;1100
building_category;Sch
dhw_heat_source;DH
sh_heat_source;DH
pv;Roof:x:x
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8102

;Heat import;Electricity import;Heat use;Electricity use;Electricity production;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;Wh;Wh;Wh;C;W/m2;m/s;deg;%
;Imported District Heating;Electricity imported ;Heat Total = HtSpace + HtDHW;Electricity exported;Electricity production from PV;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;HtDH;ElImp;HtTot;ElExp;ElPV;Tout;SolGlob;WindSpd;WindDir;RH
2020-01-05T05:00:00+0100;130000.0;98400.0;130000.0;;;-1.4018920898437273;1.4606221325023462e-14;1.0980556;76.974686;0.71321785
2020-01-05T06:00:00+0100;140000.0;98400.0;140000.0;;;-1.2145446777343525;1.4590489310566884e-14;1.0018399;81.720184;0.7092818
2020-01-05T07:00:00+0100;130000.0;97800.0;130000.0;;;-1.0069335937499773;-8.760603353863418e-14;1.0084484;118.4362;0.6738964
2020-01-05T08:00:00+0100;200000.0;104400.0;200000.0;;;-0.7008422851562273;0.0;0.91058236;135.58661;0.7050854
2020-01-05T09:00:00+0100;190000.0;102600.0;190000.0;;;-0.3875183105468522;2.071111111111111;1.8287044;196.04556;0.7065502
2020-01-05T10:00:00+0100;200000.0;103200.0;200000.0;;;0.0369506835937727;11.386666666666668;2.12768;180.66795;0.76027644
2020-01-05T11:00:00+0100;190000.0;103800.0;190000.0;;;-0.4892028808593522;18.453333333333333;2.8898358;188.40788;0.7662268
2020-01-05T12:00:00+0100;170000.0;106200.0;170000.0;;;-0.2743896484374772;43.34222222222222;3.9902673;197.95598;0.8535986
2020-01-05T13:00:00+0100;140000.0;105600.0;140000.0;;;0.4338012695312727;46.54222222222222;4.456839;193.29414;0.88591677
2020-01-05T14:00:00+0100;150000.0;105000.0;150000.0;;;1.1739746093750227;15.502222222222224;3.9469965;191.78719;0.90778255
