Header_line;15
location;Oslo Norway
year_of_construction;2020
number_of_users;576
building_category;Sch
dhw_heat_source;GSHP, HWH
sh_heat_source;GSHP, EB
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8127

;Electricity use;Heat production;Electricity use;Electricity use;Electricity import;Heat use;Electricity use;Electricity use;Electricity production;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;C;W/m2;m/s;deg;%
;Electricity for charging of electric vehicles;Heat from heat pumps;Electricity for hot water heater;Electricity for heat pump;Electricity imported ;Heat Total = HtSpace + HtDHW;Electricity exported;Electricity for electric boiler;Electricity production from PV;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;ElEV;HtHP;ElHWH;ElHP;ElImp;HtTot;ElExp;ElBoil;ElPV;Tout;SolGlob;WindSpd;WindDir;RH
2021-01-04T13:00:00+0100;9800.0;0.0;4400.0;100.0;323600.0;219400.0;0.0;219400.0;100.0;-2.5856384277343523;84.4088888888889;3.6781797;27.216335;0.6090278
2021-01-04T14:00:00+0100;9300.0;0.0;8299.999999999998;100.0;306000.0;199500.0;0.0;199500.0;100.0;-2.4445556640624773;40.266666666666666;3.5967379;26.054844;0.6186865
2021-01-04T15:00:00+0100;350.0;5000.0;5900.0;50.0;312000.0;208850.0;0.0;203850.0;0.0;-2.7374938964843523;2.026666666666667;3.344447;19.374363;0.64215434
2021-01-04T16:00:00+0100;350.0;5000.0;5900.0;50.0;306000.0;208850.0;0.0;203850.0;0.0;-3.1277526855468523;0.0;3.448067;13.814899;0.66485953
2021-01-04T17:00:00+0100;1100.0;0.0;6900.0;100.0;282000.0;208600.0;0.0;208600.0;0.0;-3.6390747070312273;0.0;3.7362165;16.493704;0.6704747
2021-01-04T18:00:00+0100;0.0;0.0;4300.0;100.0;301200.0;202800.0;0.0;202800.0;0.0;-3.3024353027343523;0.0;3.1147418;24.314865;0.68286467
2021-01-04T19:00:00+0100;0.0;0.0;7900.0;100.0;300800.0;215500.0;0.0;215500.0;0.0;-3.3507751464843523;0.0;2.7099388;24.569511;0.70238066
2021-01-04T20:00:00+0100;0.0;0.0;3900.0;0.0;312800.0;232100.0;0.0;232100.0;0.0;-4.232275390624977;0.0;3.2965202;25.873661;0.7153509
2021-01-04T21:00:00+0100;0.0;0.0;7600.0;100.0;240400.0;235200.0;0.0;235200.0;0.0;-4.250311279296852;2.1999871060687485e-14;4.1466737;22.997206;0.71678543
2021-01-04T22:00:00+0100;0.0;10000.0;5100.0;100.0;140400.0;191400.0;0.0;181400.0;100.0;-3.463781738281228;2.1995923601044373e-14;3.5445426;20.552446;0.7054323
2021-01-04T23:00:00+0100;0.0;0.0;9800.0;300.0;121600.0;170800.0;0.0;170800.0;0.0;-2.9174255371093523;2.1995915891162257e-14;3.8257015;22.58009;0.7065615
2021-01-05T00:00:00+0100;0.0;0.0;5400.0;200.0;133200.0;83600.0;0.0;83600.0;0.0;-2.7939514160156023;2.1995931310926492e-14;3.7315075;26.12968;0.7052949
2021-01-05T01:00:00+0100;0.0;5000.0;4450.0;200.0;130000.0;96700.0;0.0;91700.0;50.0;-2.977453613281228;2.1980133762471927e-14;4.0888834;21.631485;0.70680517
2021-01-05T02:00:00+0100;0.0;5000.0;4450.0;200.0;142000.0;96700.0;0.0;91700.0;50.0;-2.8131164550781023;2.194855408532703e-14;3.9421184;21.58486;0.70541644
2021-01-05T03:00:00+0100;0.0;0.0;5000.0;200.0;145200.0;98200.0;0.0;98200.0;0.0;-2.9613708496093523;2.196434392389948e-14;3.2561738;25.306688;0.7092922
2021-01-05T04:00:00+0100;0.0;10000.0;3400.0;200.0;145600.0;111100.0;0.0;101100.0;0.0;-3.1195129394531023;2.194855408532703e-14;3.2883072;19.532932;0.70981085
2021-01-05T05:00:00+0100;0.0;0.0;5199.999999999999;200.0;174400.0;191450.0;0.0;191450.0;0.0;-3.549597167968728;2.1948546375444915e-14;3.3383377;21.34633;0.70523316
2021-01-05T06:00:00+0100;0.0;0.0;5199.999999999999;200.0;335600.0;191450.0;0.0;191450.0;0.0;-4.314520263671852;-1.0980592207104285e-13;3.5003674;20.509542;0.69777167
2021-01-05T07:00:00+0100;200.0;0.0;9300.0;200.0;340800.0;250100.0;0.0;250100.0;0.0;-5.208227539062477;0.0;3.5258415;19.652107;0.6883116
2021-01-05T08:00:00+0100;16100.000000000002;10000.0;6100.0;200.0;378800.0;274500.0;0.0;264500.0;100.0;-5.907446289062477;0.0;3.688849;20.270338;0.6842375
2021-01-05T09:00:00+0100;17400.0;0.0;9100.0;0.0;396400.0;260000.0;0.0;260000.0;0.0;-6.210974121093727;7.897777777777778;3.734801;18.311632;0.6819184
2021-01-05T10:00:00+0100;17400.0;0.0;8900.0;100.0;392400.0;253100.0;0.0;253100.0;0.0;-6.465032958984352;54.94222222222222;3.2215755;9.722971;0.6956511
2021-01-05T11:00:00+0100;9600.0;0.0;10300.0;100.0;381200.0;258100.00000000003;0.0;258100.00000000003;100.0;-6.087866210937477;94.1288888888889;3.3200102;14.027776;0.6753723
2021-01-05T12:00:00+0100;50.0;0.0;10050.0;100.0;372800.0;225650.0;0.0;225650.0;50.0;-5.480566406249977;106.42666666666666;3.2566586;20.354994;0.65982366
2021-01-05T13:00:00+0100;50.0;0.0;10050.0;100.0;324000.0;225650.0;0.0;225650.0;50.0;-4.990484619140602;87.1288888888889;2.8359008;22.062807;0.650882
2021-01-05T14:00:00+0100;0.0;10000.0;8600.0;100.0;374800.0;280500.0;0.0;270500.0;0.0;-4.895117187499977;41.72444444444445;2.8193746;20.275702;0.65185857
2021-01-05T15:00:00+0100;0.0;0.0;6100.000000000001;100.0;358800.0;254900.0;0.0;254900.0;0.0;-4.846563720703102;2.462222222222222;2.72122;23.721626;0.6665988
2021-01-05T16:00:00+0100;0.0;0.0;6600.0;150.0;357200.0;262650.0;0.0;262650.0;50.0;-5.879858398437477;0.0;3.1972394;14.955962;0.69410974
2021-01-05T17:00:00+0100;0.0;0.0;6600.0;150.0;356400.0;262650.0;0.0;262650.0;50.0;-6.631506347656227;-0.0088888888888888;2.927581;15.990439;0.6855497
2021-01-05T18:00:00+0100;0.0;0.0;3300.0;100.0;359600.0;281700.0;0.0;281700.0;0.0;-7.423193359374977;0.0;2.2742329;18.929682;0.6646913
2021-01-05T19:00:00+0100;0.0;0.0;9300.0;100.0;349600.0;273500.0;0.0;273500.0;0.0;-8.113195800781227;0.0;1.982789;20.215906;0.6662934
2021-01-05T20:00:00+0100;0.0;10000.0;4700.0;100.0;341200.0;275000.0;0.0;265000.0;0.0;-8.596502685546852;0.0;1.7919885;23.63725;0.6637452
2021-01-05T21:00:00+0100;0.0;0.0;6800.0;200.0;291600.0;233100.0;0.0;233100.0;0.0;-9.016180419921852;2.1597230177090092e-14;1.8433166;20.687477;0.6621889
2021-01-05T22:00:00+0100;0.0;0.0;4400.0;100.0;156800.0;110000.0;0.0;110000.0;100.0;-9.279119873046852;2.1593282717446983e-14;1.6404487;10.988456;0.6727177
2021-01-05T23:00:00+0100;0.0;0.0;3600.0;200.0;162400.0;116700.0;0.0;116700.0;0.0;-9.604650878906227;2.1593275007564867e-14;1.4936907;11.35433;0.6391178
2021-01-06T00:00:00+0100;0.0;10000.0;6100.0;200.0;149200.0;110400.0;0.0;100400.0;0.0;-10.008276367187475;2.1553815830897982e-14;0.72924614;4.2934055;0.6262702
2021-01-06T01:00:00+0100;0.0;0.0;2400.0;200.0;163600.0;120700.0;0.0;120700.0;0.0;-10.148199462890602;2.1585387798160758e-14;1.3367851;5.9583054;0.6131777
2021-01-06T02:00:00+0100;0.0;0.0;8200.0;200.0;168800.0;118400.0;0.0;118400.0;0.0;-10.279455566406227;2.1569597959588312e-14;1.6269399;7.6014786;0.5938446
2021-01-06T03:00:00+0100;0.0;0.0;2800.0000000000005;300.0;158000.0;113800.0;0.0;113800.0;0.0;-10.600439453124975;2.155775558065897e-14;1.2610477;22.151545;0.56389165
2021-01-06T04:00:00+0100;0.0;10000.0;4400.0;200.0;156800.0;119200.0;0.0;109200.0;100.0;-10.910986328124975;2.1561703040302088e-14;0.5387622;349.06244;0.65820634
2021-01-06T05:00:00+0100;0.0;0.0;4600.0;100.0;212000.0;154000.0;0.0;154000.0;0.0;-10.932653808593727;2.1538010572561304e-14;1.5119553;4.5520873;0.57910466
2021-01-06T06:00:00+0100;0.0;0.0;6800.000000000001;200.0;394000.0;317800.0;0.0;317800.0;0.0;-11.227148437499975;-1.0780061257234213e-13;1.3979357;7.378586;0.57695293
2021-01-06T07:00:00+0100;0.0;0.0;8400.0;100.0;396000.0;308800.0;0.0;308800.0;0.0;-11.158544921874975;0.0;1.1989787;356.33566;0.5652497
